1278-Oligo-5	1278-Oligo-7
1278-Oligo-5	1278-Oligo-8
1278-Oligo-5	1278_OL1
1278-Oligo-5	1278_OL2
1278-Oligo-5	1278_OL4
1278-Oligo-5	1278_220427_F05
1278-Oligo-5	1278_220427_p1A09
1278-Oligo-5	1278_220427_p1A06
1278-Oligo-5	1278_220427_p1A08
1278-Oligo-5	1278_220427_p1A10
1278-Oligo-5	1278_220427_p1A11
1278-Oligo-5	1278_210706_P1A04_combined
1278-Oligo-5	1278_210706_P1A05_combined
1278-Oligo-5	1278_210706_P1A07_combined
1278-Oligo-5	1278BA9-A
1278-Oligo-5	1278BA9-B
1278-Oligo-5	1278BA9-C
1278-Oligo-5	1278_210706_P1A06_combined
1278-Oligo-5	1278241118myA04
1278-Oligo-5	1278241121neA09
1278-Oligo-5	1278241118myA02
1278-Oligo-5	1278241121neA06
1278-Oligo-5	1278241118myA10
1278-Oligo-5	1278241121neB02
1278-Oligo-5	1278241121neA08
1278-Oligo-5	1278241118myB06
1278-Oligo-5	1278241118myA08
1278-Oligo-5	1278241121neA12
1278-Oligo-5	1278241118myA03
1278-Oligo-5	1278241118myA05
1278-Oligo-5	1278241118myA06
1278-Oligo-5	1278241118myA07
1278-Oligo-5	1278241118myB05
1278-Oligo-5	1278241121neA03
1278-Oligo-5	1278241121neA04
1278-Oligo-5	1278241121neA07
1278-Oligo-5	1278241121neA11
1278-Oligo-5	1278241121neB04
1278-Oligo-7	1278-Oligo-5
1278-Oligo-7	1278-Oligo-8
1278-Oligo-7	1278_OL1
1278-Oligo-7	1278_OL2
1278-Oligo-7	1278_OL4
1278-Oligo-7	1278_220427_F05
1278-Oligo-7	1278_220427_p1A09
1278-Oligo-7	1278_220427_p1A06
1278-Oligo-7	1278_220427_p1A08
1278-Oligo-7	1278_220427_p1A10
1278-Oligo-7	1278_220427_p1A11
1278-Oligo-7	1278_210706_P1A04_combined
1278-Oligo-7	1278_210706_P1A05_combined
1278-Oligo-7	1278_210706_P1A07_combined
1278-Oligo-7	1278BA9-A
1278-Oligo-7	1278BA9-B
1278-Oligo-7	1278BA9-C
1278-Oligo-7	1278_210706_P1A06_combined
1278-Oligo-7	1278241118myA04
1278-Oligo-7	1278241121neA09
1278-Oligo-7	1278241118myA02
1278-Oligo-7	1278241121neA06
1278-Oligo-7	1278241118myA10
1278-Oligo-7	1278241121neB02
1278-Oligo-7	1278241121neA08
1278-Oligo-7	1278241118myB06
1278-Oligo-7	1278241118myA08
1278-Oligo-7	1278241121neA12
1278-Oligo-7	1278241118myA03
1278-Oligo-7	1278241118myA05
1278-Oligo-7	1278241118myA06
1278-Oligo-7	1278241118myA07
1278-Oligo-7	1278241118myB05
1278-Oligo-7	1278241121neA03
